year,Singapore,Vietnam,Thailand,Israel,Philippines,Singapore,Vietnam,Thailand,Israel,Philippines
1960,0.704756305,0,2.760747472,2.5985,6.684568805,-3.31582386,0,0,0,0
1961,0.764634784,0,3.034043574,3.1385,7.256966966,-41.46213034,0,-48.30883636,-101.4123533,-41.787333
1962,0.82624461,0,3.308912797,2.51,4.399827768,-39.32020336,0,-44.21036728,97.72439063,192.1303949
1963,0.917614008,0,3.540403457,2.992333333,4.875309866,-53.96497055,0,-34.14035027,-93.77636122,-52.73735161
1964,0.894159153,0,3.889129942,3.405333333,5.271404668,12.47362051,0,-48.06755138,-67.35345884,-39.64758522
1965,0.974650464,0,4.388937649,3.663333333,5.784398977,-43.92927079,0,-62.71483969,-36.97259201,-47.49042017
1966,1.096432771,0,5.279230817,3.98,6.371459304,-60.97546588,0,-98.99048491,-42.18380346,-49.52726133
1967,1.238043904,0,5.638461442,4.03,6.809134236,-63.02824455,0,-33.20645584,-6.130653266,-33.52220523
1968,1.425715406,0,6.081009428,4.619,7.591603053,-73.9745112,0,-38.30183449,-71.32307692,-56.07831626
1969,1.659904613,0,6.695336567,5.329333333,8.408229699,-80.15928879,0,-49.29965125,-75.0471242,-52.49402535
1970,1.920586698,0,7.086538438,7.048667154,6.687204834,-76.63865546,0,-28.51335564,-157.4371224,99.88548887
1971,2.263785444,0,7.375000024,6.711750464,7.408305736,-87.20303437,0,-19.86431817,23.32573536,-52.62247061
1972,2.721440981,0,8.177884553,8.775250607,8.017468688,-98.65594938,0,-53.12646085,-150.0335978,-40.12678897
1973,3.696213333,0,10.83858736,11.32625078,10.0828856,-174.7930275,0,-158.7724748,-141.8635367,-125.7159203
1974,5.221534956,0,13.70300053,16.34100113,13.78113997,-201.3836553,0,-128.9682485,-216.0642755,-178.9912335
1975,5.63367393,0,14.88274796,15.36016773,14.89396929,-38.51814097,0,-42.0139182,29.29114905,-39.40608022
1976,6.327077974,0,16.98521115,15.18312605,17.09756327,-60.06403241,0,-68.93901854,5.624700253,-72.20062314
1977,6.618585074,0,19.77931517,17.3728012,19.64810612,-22.48359593,0,-80.27705702,-70.37822583,-72.79779533
1978,7.517176355,0,24.00657018,16.84317764,22.70615548,-66.2547267,0,-104.2958478,14.87706543,-75.95276996
1979,9.296921724,0,27.37169908,21.51408149,27.50216873,-115.5374969,0,-68.4055612,-135.3308223,-103.0757703
1980,11.89625678,0,32.35344073,24.16451147,32.45054184,-136.4403774,0,-88.81764756,-60.11922166,-87.80420572
1981,14.17522884,0,34.84610786,25.57922984,35.64641695,-93.48641224,0,-37.59790411,-28.57010217,-48.06043181
1982,16.08425238,0,36.58979786,27.83751221,37.14016393,-65.72052524,0,-24.41939057,-43.08346285,-20.44941931
1983,17.78411215,0,40.04282624,31.09223169,33.21218066,-51.57414524,0,-46.05321569,-57.05621578,51.61139951
1984,19.7493611,0,41.79759296,29.16046075,31.40849288,-53.92686904,0,-21.38525772,30.31960613,26.50231391
1985,19.15653275,14.09468782,38.90069271,27.50490868,30.73433545,14.64858708,0,33.82221852,27.70564623,10.47451802
1986,18.58674606,26.33661625,43.09674612,34.09756198,29.86833908,14.51493899,-423.8519611,-52.63849874,-116.9687508,13.75029658
1987,20.91921558,36.65810885,50.5354387,40.96327914,33.19593343,-61.23961251,-191.2503999,-84.23099892,-98.26127682,-54.36747044
1988,25.37146249,25.42381265,61.66719983,50.09938179,37.88544042,-103.8612793,149.5531744,-107.4948507,-108.8393846,-68.93854681
1989,30.46536474,6.293304975,72.25087741,49.90196666,42.57518391,-97.97717808,367.2025071,-83.75335139,1.922949487,-60.40829396
1990,36.14433677,6.471740806,85.34306397,59.01127871,44.31159376,-90.96685283,-13.83640009,-88.42781248,-89.08154476,-19.90286193
1991,45.46616498,9.61336952,98.23469572,67.55801766,45.4175613,-125.857951,-236.893729,-73.71561325,-70.67816018,-12.17993119
1992,52.13026397,9.866990236,111.4528694,75.60701222,52.97634493,-71.52748219,-12.87445668,-65.66385427,-58.14127594,-81.21718349
1993,60.60347815,13.1809536,128.8898324,75.98590653,54.36808395,-79.31915569,-163.9014615,-76.34830753,-2.445545943,-12.82022466
1994,73.69084719,16.28643353,146.683499,86.34266257,64.08446012,-105.383986,-114.97455,-67.37001012,-66.51360996,-87.21277681
1995,87.81099196,20.73616446,169.2785529,100.3848087,74.11998724,-93.50727951,-133.3299084,-75.17127933,-79.36479005,-76.42004357
1996,96.29588652,24.65747057,183.0351541,109.9958472,82.84814062,-47.15387512,-92.28309258,-39.65783792,-46.72207765,-57.46545574
1997,100.1241918,26.84370044,150.1802686,114.692617,82.34426057,-19.4007558,-43.26802994,87.59620075,-20.83736531,2.968002194
1998,85.72831023,27.20960205,113.6757061,115.9328468,72.20702877,70.16476323,-6.651839426,118.6189549,-5.276993218,60.07667184
1999,86.28466077,28.68365901,126.6689322,117.1115352,82.99514579,-3.166970883,-26.4369833,-55.77879848,-4.961492245,-72.90981499
2000,96.07447796,31.1725184,126.3923085,132.3430427,81.02630031,-55.3682514,-42.34339089,1.065709994,-63.46920196,11.57653965
2001,89.79494335,32.68519874,120.2967463,130.7563367,76.26207247,31.89622212,-23.68073033,23.5349319,5.850799125,28.69368561
2002,92.53775271,35.0641055,134.3008513,121.1238286,81.35760564,-14.90608399,-35.51780459,-56.8095435,35.94979845,-32.60624985
2003,97.64544828,39.55251332,152.2806535,126.9659801,83.90820665,-26.9355519,-62.46681564,-65.33200225,-23.53764698,-15.29904034
2004,115.0354988,45.42785469,172.8954762,135.477432,91.3712425,-86.90978208,-72.49012393,-66.06245245,-32.71418486,-43.40411551
2005,127.8076184,57.63325562,189.3185,142.5289099,103.0715821,-54.18148688,-131.1141741,-46.35422391,-25.39995903,-62.48974605
2006,148.6303732,66.37166482,221.7584869,154.0343166,122.2107163,-79.5062493,-73.99102555,-83.61947524,-39.39297992,-90.61564099
2007,180.9419415,77.41442553,262.9426505,178.9591887,149.3599181,-106.0889842,-81.19228656,-90.62954997,-78.96511508,-108.4095639
2008,193.6119867,99.1303041,291.3830812,216.105165,174.1951363,-34.17108286,-136.8911371,-52.78310745,-101.2925717,-81.14349978
2009,194.152286,106.0146598,281.7100957,207.4681709,168.3346013,-1.361827132,-33.89039909,16.20003779,19.50371297,16.4180306
2010,239.8093876,115.9317497,341.1050095,233.9956762,199.5907752,-114.7587084,-45.6497233,-102.8884601,-62.39715004,-90.61127518
2011,279.3511687,135.5394386,370.8187474,261.4686342,224.1430837,-80.46552877,-82.53607998,-42.50979517,-57.29509083,-60.03046255
2012,295.0872209,155.8200019,397.5580943,257.180147,250.092093,-27.48939094,-73.01870972,-35.18916281,8.003949534,-56.49568269
2013,307.5763606,171.2220251,420.3333333,292.636164,271.8361237,-20.65389389,-48.23634468,-27.95645925,-67.27788471,-42.42871842
2014,314.8511562,186.2046529,407.3393617,309.5584547,284.5845229,-11.54217524,-42.7019968,15.08578468,-28.21960812,-22.88591638
2015,308.0041461,193.2411087,401.2959702,299.8131212,292.774099,10.61244615,-18.44094855,7.240093415,15.36292315,-14.0433257
2016,318.0684763,205.2761721,412.3527895,318.950599,304.8975902,-15.94586702,-30.39265812,-13.44575627,-31.14970129,-20.20760621
2017,338.406474,223.7798658,455.2755172,353.253407,313.6197477,-31.20379302,-43.9885566,-50.79701571,-52.48389664,-13.96013945
2018,364.1566578,245.2136864,504.9927577,370.5879772,330.9103436,-37.13312429,-46.74104345,-53.29083693,-23.94674783,-26.90459018
2019,,,,,,488,488,488,488,488
